,"Pref Vendor","Reorder Pt (Min)","Max","On Hand","On Sales Order","For Assemblies","Available","Order","On PO","Reorder Qty","Next Deliv","Sales/Week"
"Inventory",,,,,,,,,,,,
"CAPS/KNOCKOFFS (WHEEL ACCESSORIES:  'Rocket Racing Wheels' Center Caps, Knockoffs...",,,,,,,,,,,,
"C102S (Polished 4x4  Push-Thru Closed Center Caps 4.25' diameter)","Topline","","",84,0,0,84,,0,0,,0
"C104S (Polished 4x4  Push-Thru Open Center Caps 4.25' diameter)","Topline","","",77,0,0,77,,0,0,,0
"LC1-INJ1 ('Rocket Injector'  Polished Lug Cover)","Custom Wheel Solutions","","",488,0,0,488,,0,0,,0
"LC1-SFP1 ('Rocket Fire & Solid'  Polished Lug Cover)","Custom Wheel Solutions","","",182,0,0,182,,0,0,,0
"LC3-SFP3 ('Rocket Fire & Solid'  Gray Painted Lug Cover)","Custom Wheel Solutions","","",309,0,0,309,,0,0,,0
"LCM-SFM0 ('Rocket Fire & Solid'  As Cast Lug Cover)","Custom Wheel Solutions","","",95,0,0,95,,0,0,,0
"RA2-995002L ('Rocket Fire & Solid'  LEFT HAND THREAD Long Spinner Adapter)","Custom Wheel Solutions","","",366,0,0,366,,0,0,,0
"RA2-995002R ('Rocket Fire & Solid'  RIGHT HAND THREAD Long Spinner Adapter)","Custom Wheel Solutions","","",345,0,0,345,,0,0,,0
"RB1-0201 ('Rocket Racing Wheels' Polished Bullet Center Cap)","Custom Wheel Solutions","","",342,4,0,338,,0,0,,1.2
"RB4-0202 ('Rocket Racing Wheels' Chrome Bullet Center Cap)","Custom Wheel Solutions","","",454,0,0,454,,0,0,,0
"RBM-0203 ('Rocket Racing Wheels' As Cast/Media Blast Bullet Center Cap)","Custom Wheel Solutions","","",15,0,0,15,,0,0,,0
"RC-ORing1 ('Rocket Racing Wheels' O-Ring Replacement for Center Cap)","Custom Wheel Solutions","","",69,0,0,69,,0,0,,2.1
"RC0-01601 (Do NOT ORDER THIS Part# again.  Should be Media Blast instead)","Custom Wheel Solutions","","",188,0,0,188,,0,0,,0
"RC1-01501 ('Rocket Racing Wheels' Polished Dome Center Cap)","Custom Wheel Solutions","","",20,0,0,20,,0,0,,0.9
"RC4-01401 ('Rocket Racing Wheels' Chrome Center Cap)","Custom Wheel Solutions","","",13,0,0,13,,0,0,,0.2
"RCM-01701 ('Rocket Racing Wheels' As Cast/Media Blast Center Cap)","Custom Wheel Solutions","","",1,0,0,1,,0,0,,0
